,title,type,kind,country,region,price_eur,volume_lit,order_number
58, Sauvignon Blanc trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.99,0.75, 70569-DE-WW-SB-010-15 
59, Santa Digna Rosé Cabernet Sauvignon 2021 - Miguel Torres Chile ,rosé wine,dry,Chile,Valle Central (CL),7.49,0.75, 70011-CL-RO-CS-215-13 
60, Grauburgunder trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.89,0.75, 70569-DE-WW-GB-010-15 
61, Fragolino Rosso - Terre del Sole ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,4.64,0.75, 70077-IT-SW-001 
62, Sessantanni Primitivo di Manduria DOC 2017 - Cantine San Marzano ,red wine,semi-dry,Italy,Apulia (IT),19.9,0.75, 70342-IT-RW-PR-503-11 
63, Corvo Rosso Terre Siciliane 2019 - Duca di Salaparuta ,red wine,dry,Italy,Sizilien (IT),6.59,0.75, 70217-IT-RW-BL-044-11 
64, Fragolino Rosso Frizzante - Bottega ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,5.97,0.75, 70601-IT-RW-001 
65, Grauer Burgunder eins zu eins Kabinett trocken 2021 - A. Diehl ,white wine,dry,Germany,Palatinate,7.49,0.75, 70126-DE-WW-PG-002-12 
66, Fabelhaft Tinto Douro DOC Rotwein 2020 - Niepoort ,red wine,dry,Portugal,Douro & Porto (PT),10.48,0.75, 70009-PT-RW-BL-009-12 
67, Motivo Rosé extra dry - Borgo Molino ,sparkling wine,spumante,extra dry,Italy,10.86,0.75, 70121-IT-SW-BL-001 
68, Mandus Primitivo di Manduria DOC 2019 - Pietra Pura ,red wine,dry,Italy,Apulia (IT),10.76,0.75, 70015-IT-RW-PR-005-11 
69, Schmetterlinge im Bauch Rosé 2020 - Weingut Kiefer ,rosé wine,semi-dry,Germany,Baden (DE),6.19,0.75, 70019-DE-RO-001-13 
70, Horgelus Blanc Côtes de Gascogne 2021 - Domaine Horgelus ,white wine,dry,France,Gascogne (FR),6.53,0.75, 70217-FR-WW-BL-001-11 
71, Pleno Tempranillo Navarra DO 2020 - Bodegas Agronavarra ,red wine,dry,Spain,Aragonien (ES),4.65,0.75, 70009-ES-RW-TE-0002-12 
72, Fleur de d'Artagnan Blanc Côtes de Gascogne 2020 - Plaimont ,white wine,dry,France,Gascogne (FR),4.88,0.75, 70011-FR-WW-BL-005-12 
73, Aimery Grande Cuvée 1531 Rosé Crémant Brut - Sieur d'Arques ,sparkling wine,crémant,brut - bruto,France,12.5,0.75, 70342-FR-SW-BL-002 
74, Sauvignon Blanc trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.99,0.75, 70569-DE-WW-SB-010-15 
75, Santa Digna Rosé Cabernet Sauvignon 2021 - Miguel Torres Chile ,rosé wine,dry,Chile,Valle Central (CL),7.49,0.75, 70011-CL-RO-CS-215-13 
76, Grauburgunder trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.89,0.75, 70569-DE-WW-GB-010-15 
77, Fragolino Rosso - Terre del Sole ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,4.64,0.75, 70077-IT-SW-001 
78, Sessantanni Primitivo di Manduria DOC 2017 - Cantine San Marzano ,red wine,semi-dry,Italy,Apulia (IT),19.9,0.75, 70342-IT-RW-PR-503-11 
79, Corvo Rosso Terre Siciliane 2019 - Duca di Salaparuta ,red wine,dry,Italy,Sizilien (IT),6.59,0.75, 70217-IT-RW-BL-044-11 
80, Fragolino Rosso Frizzante - Bottega ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,5.97,0.75, 70601-IT-RW-001 
81, Grauer Burgunder eins zu eins Kabinett trocken 2021 - A. Diehl ,white wine,dry,Germany,Palatinate,7.49,0.75, 70126-DE-WW-PG-002-12 
82, Fabelhaft Tinto Douro DOC Rotwein 2020 - Niepoort ,red wine,dry,Portugal,Douro & Porto (PT),10.48,0.75, 70009-PT-RW-BL-009-12 
83, Motivo Rosé extra dry - Borgo Molino ,sparkling wine,spumante,extra dry,Italy,10.86,0.75, 70121-IT-SW-BL-001 
84, Mandus Primitivo di Manduria DOC 2019 - Pietra Pura ,red wine,dry,Italy,Apulia (IT),10.76,0.75, 70015-IT-RW-PR-005-11 
85, Schmetterlinge im Bauch Rosé 2020 - Weingut Kiefer ,rosé wine,semi-dry,Germany,Baden (DE),6.19,0.75, 70019-DE-RO-001-13 
86, Horgelus Blanc Côtes de Gascogne 2021 - Domaine Horgelus ,white wine,dry,France,Gascogne (FR),6.53,0.75, 70217-FR-WW-BL-001-11 
87, Pleno Tempranillo Navarra DO 2020 - Bodegas Agronavarra ,red wine,dry,Spain,Aragonien (ES),4.65,0.75, 70009-ES-RW-TE-0002-12 
88, Fleur de d'Artagnan Blanc Côtes de Gascogne 2020 - Plaimont ,white wine,dry,France,Gascogne (FR),4.88,0.75, 70011-FR-WW-BL-005-12 
89, Aimery Grande Cuvée 1531 Rosé Crémant Brut - Sieur d'Arques ,sparkling wine,crémant,brut - bruto,France,12.5,0.75, 70342-FR-SW-BL-002 
90, Sauvignon Blanc trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.99,0.75, 70569-DE-WW-SB-010-15 
91, Santa Digna Rosé Cabernet Sauvignon 2021 - Miguel Torres Chile ,rosé wine,dry,Chile,Valle Central (CL),7.49,0.75, 70011-CL-RO-CS-215-13 
92, Grauburgunder trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.89,0.75, 70569-DE-WW-GB-010-15 
93, Fragolino Rosso - Terre del Sole ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,4.64,0.75, 70077-IT-SW-001 
94, Sessantanni Primitivo di Manduria DOC 2017 - Cantine San Marzano ,red wine,semi-dry,Italy,Apulia (IT),19.9,0.75, 70342-IT-RW-PR-503-11 
95, Corvo Rosso Terre Siciliane 2019 - Duca di Salaparuta ,red wine,dry,Italy,Sizilien (IT),6.59,0.75, 70217-IT-RW-BL-044-11 
96, Fragolino Rosso Frizzante - Bottega ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,5.97,0.75, 70601-IT-RW-001 
97, Grauer Burgunder eins zu eins Kabinett trocken 2021 - A. Diehl ,white wine,dry,Germany,Palatinate,7.49,0.75, 70126-DE-WW-PG-002-12 
98, Fabelhaft Tinto Douro DOC Rotwein 2020 - Niepoort ,red wine,dry,Portugal,Douro & Porto (PT),10.48,0.75, 70009-PT-RW-BL-009-12 
99, Motivo Rosé extra dry - Borgo Molino ,sparkling wine,spumante,extra dry,Italy,10.86,0.75, 70121-IT-SW-BL-001 
100, Mandus Primitivo di Manduria DOC 2019 - Pietra Pura ,red wine,dry,Italy,Apulia (IT),10.76,0.75, 70015-IT-RW-PR-005-11 
101, Schmetterlinge im Bauch Rosé 2020 - Weingut Kiefer ,rosé wine,semi-dry,Germany,Baden (DE),6.19,0.75, 70019-DE-RO-001-13 
102, Horgelus Blanc Côtes de Gascogne 2021 - Domaine Horgelus ,white wine,dry,France,Gascogne (FR),6.53,0.75, 70217-FR-WW-BL-001-11 
103, Pleno Tempranillo Navarra DO 2020 - Bodegas Agronavarra ,red wine,dry,Spain,Aragonien (ES),4.65,0.75, 70009-ES-RW-TE-0002-12 
104, Fleur de d'Artagnan Blanc Côtes de Gascogne 2020 - Plaimont ,white wine,dry,France,Gascogne (FR),4.88,0.75, 70011-FR-WW-BL-005-12 
105, Aimery Grande Cuvée 1531 Rosé Crémant Brut - Sieur d'Arques ,sparkling wine,crémant,brut - bruto,France,12.5,0.75, 70342-FR-SW-BL-002 
106, Sauvignon Blanc trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.99,0.75, 70569-DE-WW-SB-010-15 
107, Santa Digna Rosé Cabernet Sauvignon 2021 - Miguel Torres Chile ,rosé wine,dry,Chile,Valle Central (CL),7.49,0.75, 70011-CL-RO-CS-215-13 
108, Grauburgunder trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.89,0.75, 70569-DE-WW-GB-010-15 
109, Fragolino Rosso - Terre del Sole ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,4.64,0.75, 70077-IT-SW-001 
110, Sessantanni Primitivo di Manduria DOC 2017 - Cantine San Marzano ,red wine,semi-dry,Italy,Apulia (IT),19.9,0.75, 70342-IT-RW-PR-503-11 
111, Corvo Rosso Terre Siciliane 2019 - Duca di Salaparuta ,red wine,dry,Italy,Sizilien (IT),6.59,0.75, 70217-IT-RW-BL-044-11 
112, Fragolino Rosso Frizzante - Bottega ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,5.97,0.75, 70601-IT-RW-001 
113, Grauer Burgunder eins zu eins Kabinett trocken 2021 - A. Diehl ,white wine,dry,Germany,Palatinate,7.49,0.75, 70126-DE-WW-PG-002-12 
114, Fabelhaft Tinto Douro DOC Rotwein 2020 - Niepoort ,red wine,dry,Portugal,Douro & Porto (PT),10.48,0.75, 70009-PT-RW-BL-009-12 
115, Motivo Rosé extra dry - Borgo Molino ,sparkling wine,spumante,extra dry,Italy,10.86,0.75, 70121-IT-SW-BL-001 
116, Mandus Primitivo di Manduria DOC 2019 - Pietra Pura ,red wine,dry,Italy,Apulia (IT),10.76,0.75, 70015-IT-RW-PR-005-11 
117, Schmetterlinge im Bauch Rosé 2020 - Weingut Kiefer ,rosé wine,semi-dry,Germany,Baden (DE),6.19,0.75, 70019-DE-RO-001-13 
118, Horgelus Blanc Côtes de Gascogne 2021 - Domaine Horgelus ,white wine,dry,France,Gascogne (FR),6.53,0.75, 70217-FR-WW-BL-001-11 
119, Pleno Tempranillo Navarra DO 2020 - Bodegas Agronavarra ,red wine,dry,Spain,Aragonien (ES),4.65,0.75, 70009-ES-RW-TE-0002-12 
120, Fleur de d'Artagnan Blanc Côtes de Gascogne 2020 - Plaimont ,white wine,dry,France,Gascogne (FR),4.88,0.75, 70011-FR-WW-BL-005-12 
121, Aimery Grande Cuvée 1531 Rosé Crémant Brut - Sieur d'Arques ,sparkling wine,crémant,brut - bruto,France,12.5,0.75, 70342-FR-SW-BL-002 
122, Sauvignon Blanc trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.99,0.75, 70569-DE-WW-SB-010-15 
123, Santa Digna Rosé Cabernet Sauvignon 2021 - Miguel Torres Chile ,rosé wine,dry,Chile,Valle Central (CL),7.49,0.75, 70011-CL-RO-CS-215-13 
124, Grauburgunder trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.89,0.75, 70569-DE-WW-GB-010-15 
125, Fragolino Rosso - Terre del Sole ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,4.64,0.75, 70077-IT-SW-001 
126, Sessantanni Primitivo di Manduria DOC 2017 - Cantine San Marzano ,red wine,semi-dry,Italy,Apulia (IT),19.9,0.75, 70342-IT-RW-PR-503-11 
127, Corvo Rosso Terre Siciliane 2019 - Duca di Salaparuta ,red wine,dry,Italy,Sizilien (IT),6.59,0.75, 70217-IT-RW-BL-044-11 
128, Fragolino Rosso Frizzante - Bottega ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,5.97,0.75, 70601-IT-RW-001 
129, Grauer Burgunder eins zu eins Kabinett trocken 2021 - A. Diehl ,white wine,dry,Germany,Palatinate,7.49,0.75, 70126-DE-WW-PG-002-12 
130, Fabelhaft Tinto Douro DOC Rotwein 2020 - Niepoort ,red wine,dry,Portugal,Douro & Porto (PT),10.48,0.75, 70009-PT-RW-BL-009-12 
131, Motivo Rosé extra dry - Borgo Molino ,sparkling wine,spumante,extra dry,Italy,10.86,0.75, 70121-IT-SW-BL-001 
132, Mandus Primitivo di Manduria DOC 2019 - Pietra Pura ,red wine,dry,Italy,Apulia (IT),10.76,0.75, 70015-IT-RW-PR-005-11 
133, Schmetterlinge im Bauch Rosé 2020 - Weingut Kiefer ,rosé wine,semi-dry,Germany,Baden (DE),6.19,0.75, 70019-DE-RO-001-13 
134, Horgelus Blanc Côtes de Gascogne 2021 - Domaine Horgelus ,white wine,dry,France,Gascogne (FR),6.53,0.75, 70217-FR-WW-BL-001-11 
135, Pleno Tempranillo Navarra DO 2020 - Bodegas Agronavarra ,red wine,dry,Spain,Aragonien (ES),4.65,0.75, 70009-ES-RW-TE-0002-12 
136, Fleur de d'Artagnan Blanc Côtes de Gascogne 2020 - Plaimont ,white wine,dry,France,Gascogne (FR),4.88,0.75, 70011-FR-WW-BL-005-12 
137, Aimery Grande Cuvée 1531 Rosé Crémant Brut - Sieur d'Arques ,sparkling wine,crémant,brut - bruto,France,12.5,0.75, 70342-FR-SW-BL-002 
138, Sauvignon Blanc trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.99,0.75, 70569-DE-WW-SB-010-15 
139, Santa Digna Rosé Cabernet Sauvignon 2021 - Miguel Torres Chile ,rosé wine,dry,Chile,Valle Central (CL),7.49,0.75, 70011-CL-RO-CS-215-13 
140, Grauburgunder trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.89,0.75, 70569-DE-WW-GB-010-15 
141, Fragolino Rosso - Terre del Sole ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,4.64,0.75, 70077-IT-SW-001 
142, Sessantanni Primitivo di Manduria DOC 2017 - Cantine San Marzano ,red wine,semi-dry,Italy,Apulia (IT),19.9,0.75, 70342-IT-RW-PR-503-11 
143, Corvo Rosso Terre Siciliane 2019 - Duca di Salaparuta ,red wine,dry,Italy,Sizilien (IT),6.59,0.75, 70217-IT-RW-BL-044-11 
144, Fragolino Rosso Frizzante - Bottega ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,5.97,0.75, 70601-IT-RW-001 
145, Grauer Burgunder eins zu eins Kabinett trocken 2021 - A. Diehl ,white wine,dry,Germany,Palatinate,7.49,0.75, 70126-DE-WW-PG-002-12 
146, Fabelhaft Tinto Douro DOC Rotwein 2020 - Niepoort ,red wine,dry,Portugal,Douro & Porto (PT),10.48,0.75, 70009-PT-RW-BL-009-12 
147, Motivo Rosé extra dry - Borgo Molino ,sparkling wine,spumante,extra dry,Italy,10.86,0.75, 70121-IT-SW-BL-001 
148, Mandus Primitivo di Manduria DOC 2019 - Pietra Pura ,red wine,dry,Italy,Apulia (IT),10.76,0.75, 70015-IT-RW-PR-005-11 
149, Schmetterlinge im Bauch Rosé 2020 - Weingut Kiefer ,rosé wine,semi-dry,Germany,Baden (DE),6.19,0.75, 70019-DE-RO-001-13 
150, Horgelus Blanc Côtes de Gascogne 2021 - Domaine Horgelus ,white wine,dry,France,Gascogne (FR),6.53,0.75, 70217-FR-WW-BL-001-11 
151, Pleno Tempranillo Navarra DO 2020 - Bodegas Agronavarra ,red wine,dry,Spain,Aragonien (ES),4.65,0.75, 70009-ES-RW-TE-0002-12 
152, Fleur de d'Artagnan Blanc Côtes de Gascogne 2020 - Plaimont ,white wine,dry,France,Gascogne (FR),4.88,0.75, 70011-FR-WW-BL-005-12 
153, Aimery Grande Cuvée 1531 Rosé Crémant Brut - Sieur d'Arques ,sparkling wine,crémant,brut - bruto,France,12.5,0.75, 70342-FR-SW-BL-002 
154, Sauvignon Blanc trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.99,0.75, 70569-DE-WW-SB-010-15 
155, Santa Digna Rosé Cabernet Sauvignon 2021 - Miguel Torres Chile ,rosé wine,dry,Chile,Valle Central (CL),7.49,0.75, 70011-CL-RO-CS-215-13 
156, Grauburgunder trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.89,0.75, 70569-DE-WW-GB-010-15 
157, Fragolino Rosso - Terre del Sole ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,4.64,0.75, 70077-IT-SW-001 
158, Sessantanni Primitivo di Manduria DOC 2017 - Cantine San Marzano ,red wine,semi-dry,Italy,Apulia (IT),19.9,0.75, 70342-IT-RW-PR-503-11 
159, Corvo Rosso Terre Siciliane 2019 - Duca di Salaparuta ,red wine,dry,Italy,Sizilien (IT),6.59,0.75, 70217-IT-RW-BL-044-11 
160, Fragolino Rosso Frizzante - Bottega ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,5.97,0.75, 70601-IT-RW-001 
161, Grauer Burgunder eins zu eins Kabinett trocken 2021 - A. Diehl ,white wine,dry,Germany,Palatinate,7.49,0.75, 70126-DE-WW-PG-002-12 
162, Fabelhaft Tinto Douro DOC Rotwein 2020 - Niepoort ,red wine,dry,Portugal,Douro & Porto (PT),10.48,0.75, 70009-PT-RW-BL-009-12 
163, Motivo Rosé extra dry - Borgo Molino ,sparkling wine,spumante,extra dry,Italy,10.86,0.75, 70121-IT-SW-BL-001 
164, Mandus Primitivo di Manduria DOC 2019 - Pietra Pura ,red wine,dry,Italy,Apulia (IT),10.76,0.75, 70015-IT-RW-PR-005-11 
165, Schmetterlinge im Bauch Rosé 2020 - Weingut Kiefer ,rosé wine,semi-dry,Germany,Baden (DE),6.19,0.75, 70019-DE-RO-001-13 
166, Horgelus Blanc Côtes de Gascogne 2021 - Domaine Horgelus ,white wine,dry,France,Gascogne (FR),6.53,0.75, 70217-FR-WW-BL-001-11 
167, Pleno Tempranillo Navarra DO 2020 - Bodegas Agronavarra ,red wine,dry,Spain,Aragonien (ES),4.65,0.75, 70009-ES-RW-TE-0002-12 
168, Fleur de d'Artagnan Blanc Côtes de Gascogne 2020 - Plaimont ,white wine,dry,France,Gascogne (FR),4.88,0.75, 70011-FR-WW-BL-005-12 
169, Aimery Grande Cuvée 1531 Rosé Crémant Brut - Sieur d'Arques ,sparkling wine,crémant,brut - bruto,France,12.5,0.75, 70342-FR-SW-BL-002 
170, Sauvignon Blanc trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.99,0.75, 70569-DE-WW-SB-010-15 
171, Santa Digna Rosé Cabernet Sauvignon 2021 - Miguel Torres Chile ,rosé wine,dry,Chile,Valle Central (CL),7.49,0.75, 70011-CL-RO-CS-215-13 
172, Grauburgunder trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.89,0.75, 70569-DE-WW-GB-010-15 
173, Fragolino Rosso - Terre del Sole ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,4.64,0.75, 70077-IT-SW-001 
